ID,Pred
2021_1101_1104,0.11174020961196261
2021_1101_1111,0.8053840122477247
2021_1101_1116,0.14417280031423257
2021_1101_1124,0.11563106095434403
2021_1101_1140,0.35449504340625615
2021_1101_1155,0.3131469878081771
2021_1101_1156,0.621681870277889
2021_1101_1159,0.5
2021_1101_1160,0.32596705910270035
2021_1101_1163,0.2713518331724788
2021_1101_1166,0.34369710494660943
2021_1101_1179,0.3463318778906784
2021_1101_1180,0.7556167786235553
2021_1101_1186,0.7596871993616566
2021_1101_1196,0.26827255624611984
2021_1101_1199,0.26372336560922544
2021_1101_1207,0.7057798747889843
2021_1101_1210,0.43462848575938906
2021_1101_1211,0.0976139229315405
2021_1101_1213,0.7635991983819576
2021_1101_1216,0.7176504629179714
2021_1101_1222,0.053114787954398716
2021_1101_1228,0.3215771942729674
2021_1101_1233,0.7004451753736994
2021_1101_1234,0.4063962927307253
2021_1101_1242,0.26763567728121473
2021_1101_1251,0.591331944804461
2021_1101_1260,0.42306342832233024
2021_1101_1261,0.28031356412525205
2021_1101_1268,0.6024175604402598
2021_1101_1276,0.3275857064969742
2021_1101_1277,0.7505419608993448
2021_1101_1281,0.4306060195506299
2021_1101_1287,0.6209863382906934
2021_1101_1291,0.8013119061414998
2021_1101_1313,0.6914909150576377
2021_1101_1314,0.4011147271896327
2021_1101_1317,0.47716604027447773
2021_1101_1325,0.5192131242213684
2021_1101_1326,0.29395562399927866
2021_1101_1328,0.4576289162533639
2021_1101_1329,0.2566026315759505
2021_1101_1331,0.7460761522316973
2021_1101_1332,0.35043514475121046
2021_1101_1333,0.672354175028935
2021_1101_1345,0.29393385088403556
2021_1101_1353,0.44054962250169794
2021_1101_1361,0.2589523004825089
2021_1101_1364,0.6368430170527183
2021_1101_1382,0.34848845090665204
2021_1101_1393,0.3561480893467854
2021_1101_1397,0.2690346268581827
2021_1101_1400,0.26605759706115795
2021_1101_1403,0.2022034453926051
2021_1101_1411,0.6945502854959675
2021_1101_1417,0.5760205134601845
2021_1101_1422,0.31152009595496166
2021_1101_1425,0.37304624364199807
2021_1101_1429,0.46138167254031365
2021_1101_1433,0.29533322298419784
2021_1101_1437,0.37657316420632014
2021_1101_1438,0.25463753848760173
2021_1101_1439,0.39922984013637025
2021_1101_1452,0.3311041480481624
2021_1101_1455,0.5734364416475008
2021_1101_1457,0.36047278812772565
2021_1101_1458,0.4413469768308739
2021_1104_1111,0.9697880466172436
2021_1104_1116,0.5730037465031792
2021_1104_1124,0.5104966751182392
2021_1104_1140,0.813904204313106
2021_1104_1155,0.7840579990087934
2021_1104_1156,0.9293478662076953
2021_1104_1159,0.8899255412711181
2021_1104_1160,0.7938740789849541
2021_1104_1163,0.7478452728611615
2021_1104_1166,0.80659857586381
2021_1104_1179,0.808410901891659
2021_1104_1180,0.959693875318725
2021_1104_1186,0.9605652670719946
2021_1104_1196,0.7448867719049608
2021_1104_1199,0.7404342426886177
2021_1104_1207,0.9482889546196402
2021_1104_1210,0.8596724792537217
2021_1104_1211,0.46321206712907587
2021_1104_1213,0.9613947121030837
2021_1104_1216,0.9511346391302805
2021_1104_1222,0.30906329494117557
2021_1104_1228,0.7905737548805415
2021_1104_1233,0.9469821710824512
2021_1104_1234,0.8453762151231915
2021_1104_1242,0.744269348914712
2021_1104_1251,0.9202812681868289
2021_1104_1260,0.8539540657333808
2021_1104_1261,0.7562111419806024
2021_1104_1268,0.9236631772330027
2021_1104_1276,0.7950754696946676
2021_1104_1277,0.9585953582837113
2021_1104_1281,0.8577054292154416
2021_1104_1287,0.929146667064572
2021_1104_1291,0.9690059586166038
2021_1104_1313,0.9447486909985946
2021_1104_1314,0.8425765081623325
2021_1104_1317,0.8790568903517854
2021_1104_1325,0.8958382366558727
2021_1104_1326,0.7682886399074409
2021_1104_1328,0.8704720019099396
2021_1104_1329,0.7332618531673056
2021_1104_1331,0.9576173940071748
2021_1104_1332,0.8111948362211
2021_1104_1333,0.940775974880573
2021_1104_1345,0.7682699636991628
2021_1104_1353,0.8625254671735857
2021_1104_1361,0.7356565759336936
2021_1104_1364,0.9336616575119769
2021_1104_1382,0.8098798553432724
2021_1104_1393,0.8172437577626346
2021_1104_1397,0.7456230599906555
2021_1104_1400,0.7427312146693581
2021_1104_1403,0.6654748406958084
2021_1104_1411,0.9455175117632368
2021_1104_1417,0.9154653395842292
2021_1104_1422,0.7827727808434368
2021_1104_1425,0.8270667071951311
2021_1104_1429,0.8721622989359054
2021_1104_1433,0.7694665294694677
2021_1104_1437,0.8290721469415537
2021_1104_1438,0.7312374170036193
2021_1104_1439,0.841568013146757
2021_1104_1452,0.797658664390266
2021_1104_1455,0.9146349801171604
2021_1104_1457,0.8197909150165282
2021_1104_1458,0.8629057875393564
2021_1111_1116,0.03924878864382271
2021_1111_1124,0.030756485602993468
2021_1111_1140,0.11735567978046631
2021_1111_1155,0.09938825553328728
2021_1111_1156,0.28596362331740643
2021_1111_1159,0.19749319506143626
2021_1111_1160,0.10479688637053695
2021_1111_1163,0.08268661728962157
2021_1111_1166,0.11251456538023842
2021_1111_1179,0.1136857894828081
2021_1111_1180,0.4282479238234879
2021_1111_1186,0.4337481890681567
2021_1111_1196,0.08150932655050593
2021_1111_1199,0.0797827715910755
2021_1111_1207,0.3650288439041796
2021_1111_1210,0.15709799763378324
2021_1111_1211,0.025590628479196097
2021_1111_1213,0.4390967327510845
2021_1111_1216,0.3795316444545744
2021_1111_1222,0.013434071560687552
2021_1111_1228,0.10292898523544844
2021_1111_1233,0.358594039793226
2021_1111_1234,0.142578160941691
2021_1111_1242,0.08126670154346079
2021_1111_1251,0.2600671311635594
2021_1111_1260,0.15100907108394387
2021_1111_1261,0.08615313731079448
2021_1111_1268,0.2692173626852926
2021_1111_1276,0.1054898580832776
2021_1111_1277,0.4214778921942828
2021_1111_1281,0.1549582326612603
2021_1111_1287,0.2853391503451638
2021_1111_1291,0.4944140951482823
2021_1111_1313,0.35211359406302734
2021_1111_1314,0.13999253167733525
2021_1111_1317,0.18113789414493062
2021_1111_1325,0.20748887877011063
2021_1111_1326,0.09154792052062162
2021_1111_1328,0.1697775527926014
2021_1111_1329,0.0771102749849051
2021_1111_1331,0.41559570029175774
2021_1111_1332,0.11552265197819239
2021_1111_1333,0.33599977195800224
2021_1111_1345,0.09153919439867057
2021_1111_1353,0.16029008869254
2021_1111_1361,0.07798811789160703
2021_1111_1364,0.2999708902319157
2021_1111_1382,0.11464923633742304
2021_1111_1393,0.119679174757544
2021_1111_1397,0.08180003595715946
2021_1111_1400,0.08066679690159362
2021_1111_1403,0.05783121968397001
2021_1111_1411,0.3554011900088996
2021_1111_1417,0.24795742209845587
2021_1111_1422,0.0987118677895475
2021_1111_1425,0.126955733902196
2021_1111_1429,0.17191762814637504
2021_1111_1433,0.09210079256636083
2021_1111_1437,0.12852851883802893
2021_1111_1438,0.07637912183265944
2021_1111_1439,0.1390798801408625
2021_1111_1452,0.1070041069704063
2021_1111_1455,0.24597030857908217
2021_1111_1457,0.1215008840747803
2021_1111_1458,0.16072377883265243
2021_1116_1124,0.43782797113897615
2021_1116_1140,0.7656901214690152
2021_1116_1155,0.7306700620186568
2021_1116_1156,0.9076493079198027
2021_1116_1159,0.857969984651671
2021_1116_1160,0.7421148050141304
2021_1116_1163,0.6890548436216035
2021_1116_1166,0.7570567073367365
2021_1116_1179,0.7591946828384523
2021_1116_1180,0.9463540565290799
2021_1116_1186,0.9475022387374921
2021_1116_1196,0.6856964533825791
2021_1116_1199,0.6806537447202238
2021_1116_1207,0.9345297277532746
2021_1116_1210,0.8207038203041286
2021_1116_1211,0.39081293074254664
2021_1116_1213,0.9485958081625779
2021_1116_1216,0.937982170779828
2021_1116_1222,0.2504951255878873
2021_1116_1228,0.7382589771380129
2021_1116_1233,0.9329486029284164
2021_1116_1234,0.8033457592241857
2021_1116_1242,0.6849963562341285
2021_1116_1251,0.896109455742779
2021_1116_1260,0.8137415045237997
2021_1116_1261,0.6985851131797148
2021_1116_1268,0.9004058358634306
2021_1116_1276,0.7435204104005352
2021_1116_1277,0.9449076305938852
2021_1116_1281,0.8183059857494706
2021_1116_1287,0.9073924739726609
2021_1116_1291,0.9586589707435329
2021_1116_1313,0.9302522526111991
2021_1116_1314,0.7999651146418936
2021_1116_1317,0.8444974451718866
2021_1116_1325,0.8653394400435458
2021_1116_1326,0.7124318685891105
2021_1116_1328,0.8339229270600413
2021_1116_1329,0.66906610933333
2021_1116_1331,0.9436209165585123
2021_1116_1332,0.762483650832807
2021_1116_1333,0.9254741478393294
2021_1116_1345,0.7124103754492003
2021_1116_1353,0.8241870337181204
2021_1116_1361,0.6716070128066858
2021_1116_1364,0.9131641596860084
2021_1116_1382,0.7609293938644669
2021_1116_1393,0.7696500175515276
2021_1116_1397,0.6865316840280747
2021_1116_1400,0.6832534330641347
2021_1116_1403,0.6007356805417384
2021_1116_1411,0.9311795623906068
2021_1116_1417,0.8900077957756494
2021_1116_1422,0.7291768458299183
2021_1116_1425,0.7813466376222817
2021_1116_1429,0.8360003099142579
2021_1116_1433,0.7137879282843405
2021_1116_1437,0.7837436364053115
2021_1116_1438,0.6669189557511632
2021_1116_1439,0.7987488466712231
2021_1116_1452,0.7465463230981089
2021_1116_1455,0.8889577049443113
2021_1116_1457,0.7726759939979139
2021_1116_1458,0.8246518524359083
2021_1124_1140,0.8079928225505555
