slot,slot_round,winner_team_id,winner_team,win_probability
X16,0,1250,Lehigh,0.6093222393955644
Y11,0,1275,Miami OH,0.5813533317111053
Y16,0,1224,Howard,0.586867777987084
Z11,0,1400,Texas,0.7454940459029089
R1W1,1,1181,Duke,0.9933356689743856
R1W2,1,1163,Connecticut,1.0
R1W3,1,1277,Michigan St,0.9910561196369162
R1W4,1,1242,Kansas,0.9531822919465631
R1W5,1,1320,Northern Iowa,0.7175553635396887
R1W6,1,1257,Louisville,0.6857584122590592
R1W7,1,1417,UCLA,0.8110446259482147
R1W8,1,1326,Ohio St,0.5041270285551085
R1X1,1,1196,Florida,0.997127659574468
R1X2,1,1222,Houston,0.9992241379310345
R1X3,1,1228,Illinois,0.9468829294986503
R1X4,1,1304,Nebraska,0.984000040677398
R1X5,1,1270,McNeese St,0.8009742073268443
R1X6,1,1314,North Carolina,0.9556263734625848
R1X7,1,1388,St Mary's CA,0.8680021028767722
R1X8,1,1234,Iowa,0.7239848611460991
R1Y1,1,1276,Michigan,0.9617486321487461
R1Y2,1,1235,Iowa St,0.9914081646061693
R1Y3,1,1438,Virginia,0.9927196295947257
R1Y4,1,1104,Alabama,0.9926227090794185
R1Y5,1,1403,Texas Tech,0.7804454014967983
R1Y6,1,1397,Tennessee,0.6470484969604012
R1Y7,1,1365,Santa Clara,0.5562193015731791
R1Y8,1,1208,Georgia,0.9353900783538296
R1Z1,1,1112,Arizona,0.9929541058554598
R1Z2,1,1345,Purdue,0.9975
R1Z3,1,1211,Gonzaga,0.9977879677182685
R1Z4,1,1116,Arkansas,0.957936023337378
R1Z5,1,1458,Wisconsin,0.5411747187209567
R1Z6,1,1140,BYU,0.9103945382056398
R1Z7,1,1274,Miami FL,0.8710933474499069
R1Z8,1,1437,Villanova,0.6275385220213494
R2W1,2,1181,Duke,0.9954950495049505
R2W2,2,1163,Connecticut,0.973582984915574
R2W3,2,1257,Louisville,0.5489430287347555
R2W4,2,1242,Kansas,0.9382162211309749
R2X1,2,1196,Florida,0.9768837087658039
R2X2,2,1222,Houston,0.9800642273255513
R2X3,2,1228,Illinois,0.9711075588131795
R2X4,2,1304,Nebraska,0.9071179964180693
R2Y1,2,1276,Michigan,0.9947345549678601
R2Y2,2,1235,Iowa St,0.9736078643427796
R2Y3,2,1438,Virginia,0.9440457122329055
R2Y4,2,1104,Alabama,0.9500706539211135
R2Z1,2,1112,Arizona,0.9754791455522465
R2Z2,2,1345,Purdue,0.9748608408256665
R2Z3,2,1211,Gonzaga,0.9638499417888129
R2Z4,2,1458,Wisconsin,0.6174046868943088
R3W1,3,1181,Duke,0.9940531855536396
R3W2,3,1163,Connecticut,0.9168191679177429
R3X1,3,1196,Florida,0.9828885742563575
R3X2,3,1222,Houston,0.6482148781087479
R3Y1,3,1276,Michigan,0.8928125673450296
R3Y2,3,1438,Virginia,0.9749366575021994
R3Z1,3,1112,Arizona,0.9577404530098991
R3Z2,3,1211,Gonzaga,0.5433914195917107
R4W1,4,1181,Duke,0.9845036043542038
R4X1,4,1196,Florida,0.962759993713367
R4Y1,4,1276,Michigan,0.878874123486698
R4Z1,4,1112,Arizona,0.9618578049959813
R5WX,5,1196,Florida,0.9447011332194128
R5YZ,5,1276,Michigan,0.8614147912933641
R6CH,6,1196,Florida,0.9589478917810155
