team_id,title_probability,TeamName
1196,0.8520835339358308,Florida
1276,0.07306199831916295,Michigan
1181,0.059044916900232676,Duke
1112,0.011362345382391587,Arizona
1438,0.003054513735396777,Virginia
1222,0.001047920918923901,Houston
1228,0.0001773385630202372,Illinois
1104,9.065361943504129e-05,Alabama
1211,3.341463081844511e-05,Gonzaga
1345,1.892758727536809e-05,Purdue
1116,1.5357653938058013e-05,Arkansas
1163,6.596908075225491e-06,Connecticut
1458,7.476635398415178e-07,Wisconsin
1257,3.3557003870875737e-07,Louisville
1242,2.629810335951082e-07,Kansas
1235,2.4674834889248653e-07,Iowa St
1277,2.3591004306451548e-07,Michigan St
1304,2.102304322099578e-07,Nebraska
1341,1.5067311109188338e-07,Prairie View
1437,7.203381032058183e-08,Villanova
1388,4.5735924685173225e-08,St Mary's CA
1270,4.239814335307295e-08,McNeese St
1397,3.24299604455648e-08,Tennessee
1435,3.10772685095602e-08,Vanderbilt
1234,2.0622291579977853e-08,Iowa
1224,1.0963437031542285e-08,Howard
1103,6.224703513145037e-09,Akron
1140,5.667177939366935e-09,BYU
1465,4.2417276083467165e-09,Cal Baptist
1250,2.988950530375696e-09,Lehigh
1219,2.608844673277444e-09,High Point
1254,2.3953988047237487e-09,LIU Brooklyn
1403,2.229488732090028e-09,Texas Tech
1218,1.209336109591683e-09,Hawaii
1365,1.1642438164579878e-09,Santa Clara
1395,1.0690239010495639e-09,TCU
1417,8.600340925608741e-10,UCLA
1314,8.32396561240622e-10,North Carolina
1398,7.567756741044816e-10,Tennessee St
1385,6.666614734284419e-10,St John's
1320,5.173588821875357e-10,Northern Iowa
1326,4.996061204411229e-10,Ohio St
1378,3.6822830264294443e-10,South Florida
1274,3.2802370083326345e-10,Miami FL
1429,2.8005728438986896e-10,Utah St
1401,2.4797483411817894e-10,Texas A&M
1407,2.217788558329688e-10,Troy
1374,2.103505010219403e-10,SMU
1335,1.7864025497671816e-10,Penn
1208,1.7221541734882564e-10,Georgia
1295,1.7041190957241787e-10,N Dakota St
1474,1.5971146566249037e-10,Queens NC
1400,1.279958435641062e-10,Texas
1416,1.1046248689685825e-10,UCF
1275,8.104743700864799e-11,Miami OH
1387,6.548590419169567e-11,St Louis
1225,4.9590195509032883e-11,Idaho
1460,3.5365096092509394e-11,Wright St
1373,3.034550442443903e-11,Siena
1420,1.3391341267894746e-11,UMBC
1244,8.317172170833419e-12,Kennesaw
1301,8.025643933618902e-12,NC State
1220,3.8239915009570575e-12,Hofstra
1155,2.327519678945971e-12,Clemson
1246,1.5247556121517248e-12,Kentucky
1433,1.0595571363551682e-12,VCU
1281,2.321029659369628e-13,Missouri
1202,0.0,Furman
