,Q1_WinPct,Q2_WinPct,Q3_WinPct,Q4_WinPct,SOS,SOV,NET_last
0,0.0,0.3333333333333333,0.5,1.0,0.5255956247593044,0.3821849153606662,158.0
1,1.0,0.4,0.3076923076923077,0.75,0.4912295301792015,0.5087395249284528,182.0
2,0.3636363636363636,0.5,1.0,1.0,0.5674564840850295,0.5473767767852699,38.0
3,0.0,0.0,0.0,0.3684210526315789,0.4260401871623583,0.2410430839002267,313.0
4,0.0,0.0,0.3333333333333333,0.6111111111111112,0.4546676653008299,0.3704428050581896,248.0
5,0.0,0.0,0.0,0.4375,0.4794596830872766,0.2824489795918367,294.0
6,0.0,0.0,0.0,0.6666666666666666,0.4552171170550487,0.3209614231781719,264.0
7,0.0,0.3333333333333333,0.0,0.7894736842105263,0.4785818821506186,0.3907550120696672,166.0
8,0.0,0.25,0.6666666666666666,0.8181818181818182,0.4576902466411446,0.3610717706622879,162.0
9,0.75,1.0,0.9,1.0,0.548034980175171,0.5475247894485936,2.0
10,0.1666666666666666,0.6666666666666666,1.0,1.0,0.5669534394098154,0.4775035934159498,32.0
11,0.0,0.25,0.3333333333333333,1.0,0.4813364051413586,0.3758734066061652,150.0
12,0.0,0.0,0.1666666666666666,0.2,0.4755112560816766,0.3933862433862434,312.0
13,0.0833333333333333,0.3333333333333333,0.3333333333333333,1.0,0.5969497774381162,0.5412239348835567,106.0
14,0.0,0.25,0.2307692307692307,0.875,0.4827909702095288,0.3681663164421785,224.0
15,0.0,0.0,0.0,0.1764705882352941,0.4742340011017631,0.4224137931034482,316.0
16,0.0,0.7777777777777778,0.875,1.0,0.5608360316626944,0.4835898673446973,36.0
17,0.5,0.5,0.6666666666666666,1.0,0.4729601533614362,0.4538160603764052,73.0
18,0.0,0.0,0.5384615384615384,0.8571428571428571,0.538134066562516,0.4421705923818313,137.0
19,0.0909090909090909,0.5,1.0,0.9,0.5316842376723668,0.4062803625857812,112.0
20,0.0,0.5,0.5,0.8333333333333334,0.4836232360231549,0.3978185001718094,143.0
21,0.0,,0.1666666666666666,0.35,0.4372434236588425,0.2649164772009599,311.0
22,0.0,0.0,0.2857142857142857,0.75,0.4554737825716795,0.3702330891832123,212.0
23,,0.3333333333333333,0.25,0.7894736842105263,0.4246925704086365,0.3455203537353638,189.0
24,0.0,0.2857142857142857,0.1428571428571428,0.8181818181818182,0.5021219873854097,0.3942155946197474,191.0
25,0.3333333333333333,0.5,1.0,0.8,0.5507821514763279,0.4956194047190215,49.0
26,0.0,1.0,0.7777777777777778,0.75,0.4663829413516411,0.3880448191655087,121.0
27,0.0,0.5,0.3333333333333333,0.8333333333333334,0.5210139545217484,0.4528182874678981,171.0
28,0.0,0.3333333333333333,0.1,0.8888888888888888,0.5184808195449077,0.3772654799199444,192.0
29,0.0,0.0,0.5555555555555556,1.0,0.4674990057131405,0.3474347003758768,146.0
30,0.0,0.0,0.1666666666666666,0.7058823529411765,0.4631865143864422,0.3544809229920892,236.0
31,0.0,0.0,0.1333333333333333,0.375,0.4852570170796926,0.4499832989488162,303.0
32,0.25,0.8333333333333334,0.8888888888888888,1.0,0.491545492964339,0.4402103971023139,35.0
33,0.3333333333333333,0.6666666666666666,1.0,1.0,0.5543352519223902,0.5179634059452215,19.0
34,0.5,0.6,0.8666666666666667,0.8571428571428571,0.4949692459182613,0.4696954803546669,44.0
35,0.0,0.25,0.5454545454545454,0.6153846153846154,0.4754733439984189,0.4004498847507989,184.0
36,0.25,1.0,0.8333333333333334,1.0,0.5287767295071351,0.4644716554689276,33.0
37,0.0,0.0,0.0,0.3076923076923077,0.4551231737039976,0.2687983312983313,317.0
38,0.0,0.25,0.1818181818181818,0.7777777777777778,0.4949934095607376,0.3451395730706075,247.0
39,0.0,0.3333333333333333,0.0,0.6428571428571429,0.434465715422719,0.3244105511346891,279.0
40,0.0,0.0,0.2857142857142857,0.7222222222222222,0.4501839586122613,0.3805305507604358,211.0
41,0.0,0.0,0.25,0.6111111111111112,0.4697622744016782,0.3770079271516053,223.0
42,0.1111111111111111,0.4,0.7142857142857143,1.0,0.5595646513967786,0.4765276906716112,95.0
43,0.5,0.6666666666666666,0.5454545454545454,0.8333333333333334,0.4738325304859776,0.4360414741539968,108.0
44,0.0,0.0,0.0,0.2142857142857142,0.4842351667979769,0.4003798670465337,314.0
45,0.3636363636363636,0.25,0.9090909090909092,1.0,0.5783021183080032,0.5515971618532471,29.0
46,0.0,0.0,0.1428571428571428,0.3,0.4939659658071547,0.3505291005291005,300.0
47,0.125,0.25,1.0,1.0,0.5241351013897156,0.4188477268793359,107.0
